timestamp,ciudad,cache_enabled,time_ms,response_size,success,error_type,status_code
2025-09-15T19:39:05.561553500Z,Álava,false,890,19,true,,200
2025-09-15T19:41:40.697039700Z,Álava,false,1067,19,true,,200
2025-09-15T19:41:40.924039500Z,Álava,false,1298,19,true,,200
2025-09-15T19:41:40.924039500Z,Álava,false,1304,19,true,,200
2025-09-15T19:41:40.928042800Z,Álava,false,1358,19,true,,200
2025-09-15T19:41:41.214038100Z,Álava,false,1580,19,true,,200
2025-09-15T19:41:41.405092400Z,Álava,false,1821,19,true,,200
2025-09-15T19:41:41.413040700Z,Álava,false,1781,19,true,,200
2025-09-15T19:41:41.504078200Z,Álava,false,1914,19,true,,200
2025-09-15T19:41:42.000041800Z,Álava,false,2370,19,true,,200
2025-09-15T19:41:42.051041Z,Álava,false,2480,19,true,,200
2025-09-15T19:41:42.180081100Z,Álava,false,2612,19,true,,200
2025-09-15T19:41:42.239077600Z,Álava,false,2589,19,true,,200
2025-09-15T19:41:42.282088400Z,Álava,false,2630,19,true,,200
2025-09-15T19:41:42.312072300Z,Álava,false,2674,19,true,,200
2025-09-15T19:41:42.506046500Z,Álava,false,2862,19,true,,200
2025-09-15T19:41:42.603041500Z,Álava,false,3003,19,true,,200
2025-09-15T19:41:42.706044300Z,Álava,false,3137,19,true,,200
2025-09-15T19:41:42.730070700Z,Álava,false,3159,19,true,,200
2025-09-15T19:41:42.964042100Z,Álava,false,3308,19,true,,200
2025-09-15T19:41:42.968039700Z,Álava,false,3302,19,true,,200
2025-09-15T19:41:43.034039400Z,Álava,false,3344,19,true,,200
2025-09-15T19:41:43.122042700Z,Álava,false,3431,19,true,,200
2025-09-15T19:41:43.358038600Z,Álava,false,3611,19,true,,200
2025-09-15T19:41:43.370072200Z,Álava,false,3801,19,true,,200
2025-09-15T19:41:43.400041800Z,Álava,false,3830,19,true,,200
2025-09-15T19:41:43.468037700Z,Álava,false,3720,19,true,,200
2025-09-15T19:41:43.773043400Z,Álava,false,4183,19,true,,200
2025-09-15T19:41:43.807080900Z,Álava,false,4237,19,true,,200
2025-09-15T19:41:43.837097200Z,Álava,false,4239,19,true,,200
2025-09-15T19:41:43.910038200Z,Álava,false,4148,19,true,,200
2025-09-15T19:41:43.952071400Z,Álava,false,4166,19,true,,200
2025-09-15T19:41:44.065040100Z,Álava,false,4474,19,true,,200
2025-09-15T19:41:44.092041400Z,Álava,false,4522,19,true,,200
2025-09-15T19:41:44.274041100Z,Álava,false,4495,19,true,,200
2025-09-15T19:41:44.330080200Z,Álava,false,4738,19,true,,200
2025-09-15T19:41:44.422139800Z,Álava,false,4831,19,true,,200
2025-09-15T19:41:44.444078Z,Álava,false,4836,19,true,,200
2025-09-15T19:41:44.551082700Z,Álava,false,4953,19,true,,200
2025-09-15T19:41:44.762045700Z,Álava,false,5194,19,true,,200
2025-09-15T19:41:44.812042500Z,Álava,false,5203,19,true,,200
2025-09-15T19:41:44.878044200Z,Álava,false,5256,19,true,,200
2025-09-15T19:41:44.931124100Z,Álava,false,5311,19,true,,200
2025-09-15T19:41:44.991077700Z,Álava,false,5378,19,true,,200
2025-09-15T19:41:45.006087500Z,Álava,false,5408,19,true,,200
2025-09-15T19:41:45.017106100Z,Álava,false,5448,19,true,,200
2025-09-15T19:41:45.037091300Z,Álava,false,5469,19,true,,200
2025-09-15T19:41:45.037091300Z,Álava,false,5423,19,true,,200
2025-09-15T19:41:45.038043400Z,Álava,false,5431,19,true,,200
2025-09-15T19:41:45.038043400Z,Álava,false,5425,19,true,,200
2025-09-15T19:41:45.038043400Z,Álava,false,5428,19,true,,200
2025-09-15T19:42:12.723021700Z,Álava,false,628,19,true,,200
2025-09-15T19:42:12.724020400Z,Álava,false,625,19,true,,200
2025-09-15T19:42:12.775024500Z,Álava,false,680,19,true,,200
2025-09-15T19:42:12.796021400Z,Álava,false,685,19,true,,200
2025-09-15T19:42:13.551018400Z,Álava,false,1455,19,true,,200
2025-09-15T19:42:13.873019400Z,Álava,false,1698,19,true,,200
2025-09-15T19:42:13.991018100Z,Álava,false,1819,19,true,,200
2025-09-15T19:42:14.395019200Z,Álava,false,2213,19,true,,200
2025-09-15T19:42:14.396029500Z,Álava,false,2300,19,true,,200
2025-09-15T19:42:14.512021600Z,Álava,false,2363,19,true,,200
2025-09-15T19:42:14.608019200Z,Álava,false,2491,19,true,,200
2025-09-15T19:42:14.804020400Z,Álava,false,2621,19,true,,200
2025-09-15T19:42:14.871065400Z,Álava,false,2748,19,true,,200
2025-09-15T19:42:15.094060100Z,Álava,false,2912,19,true,,200
2025-09-15T19:42:15.212016600Z,Álava,false,3084,19,true,,200
2025-09-15T19:42:15.327056100Z,Álava,false,3140,19,true,,200
2025-09-15T19:42:15.347065500Z,Álava,false,3225,19,true,,200
2025-09-15T19:42:15.399018700Z,Álava,false,3216,19,true,,200
2025-09-15T19:42:15.444016200Z,Álava,false,3254,19,true,,200
